City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,bell ville,-32.6259,-62.6887,40.94,12,29,0.53,AR,1675885499
162,turukhansk,65.8167,87.9833,-21.92,99,100,2.42,RU,1675885499
163,tommot,58.9564,126.2925,-28.53,99,100,0.89,RU,1675885500
164,butaritari,3.0707,172.7902,26.53,85,94,8.92,KI,1675885500
165,celestun,20.8667,-90.4,29.74,56,15,0.79,MX,1675885500
166,kahului,20.8947,-156.47,25.47,68,75,6.69,US,1675885432
167,klaksvik,62.2266,-6.589,3.51,62,85,13.85,FO,1675885501
168,daru,-9.0763,143.2092,24.53,92,100,5.4,PG,1675885504
169,viedma,-40.8135,-62.9967,28.84,22,60,5.16,AR,1675885505
170,glendive,47.1053,-104.7125,7.79,57,0,8.23,US,1675885506
171,wlodawa,51.55,23.55,-7.25,86,14,2.41,PL,1675885520
172,kiruna,67.8557,20.2251,0.51,64,100,13.38,SE,1675885521
173,lima,-12.0432,-77.0282,24.14,78,20,3.09,PE,1675885276
174,aklavik,68.2191,-135.0107,-29.0,76,75,1.54,CA,1675885522
175,mumford,5.2618,-0.759,26.63,81,100,2.9,GH,1675885524
176,grand gaube,-20.0064,57.6608,26.32,78,8,2.24,MU,1675885526
177,vagur,61.4732,-6.8119,3.82,61,99,16.6,FO,1675885530
178,arraial do cabo,-22.9661,-42.0278,27.98,74,40,4.63,BR,1675885530
179,tuy hoa,13.0833,109.3,22.15,92,100,0.47,VN,1675885532
180,muravlenko,63.7898,74.523,-15.0,94,100,8.24,RU,1675885388
181,ashland,40.8167,-82.2665,9.04,75,100,2.4,US,1675885534
182,flinders,-34.5833,150.8552,20.1,94,99,2.68,AU,1675885534
183,orlik,52.5178,99.825,-25.19,96,98,1.18,RU,1675885535
184,port blair,11.6667,92.75,24.26,73,65,3.63,IN,1675885535
185,havoysund,70.9963,24.6622,4.13,76,100,15.47,NO,1675885536
186,kawalu,-7.3817,108.2082,22.53,95,100,0.38,ID,1675885536
187,twentynine palms,34.1356,-116.0542,19.4,20,0,0.45,US,1675885537
188,indianola,41.3581,-93.5574,9.95,48,79,1.34,US,1675885510
189,sydney,-33.8679,151.2073,20.4,91,75,4.63,AU,1675884924
190,sitka,57.0531,-135.33,2.94,81,20,2.57,US,1675885538
191,arlit,18.7369,7.3853,26.1,13,2,2.83,NE,1675885539
192,provideniya,64.3833,-173.3,-27.94,95,92,1.76,RU,1675885540
193,butajira,8.1167,38.3667,15.38,43,4,3.66,ET,1675885541
194,gravelbourg,49.8834,-106.5512,0.15,93,54,5.16,CA,1675885541
195,badou,7.5833,0.6,27.65,49,100,2.12,TG,1675885542
196,fillmore,43.6666,-92.1002,6.27,60,0,5.66,US,1675885542
197,carnarvon,-24.8667,113.6333,25.59,75,7,6.6,AU,1675885542
198,kribi,2.95,9.9167,26.79,84,99,3.66,CM,1675885543
199,koungou,-12.7336,45.2042,27.84,78,0,2.06,YT,1675885543
200,bengkulu,-3.8004,102.2655,23.67,86,85,2.28,ID,1675885543
201,conde,-7.2597,-34.9075,29.7,58,20,7.2,BR,1675885544
202,tautira,-17.7333,-149.15,26.52,75,20,3.72,PF,1675885544
203,nukus,42.4531,59.6103,-5.01,86,100,9.26,UZ,1675885545
204,hami,42.8,93.45,0.05,57,1,2.91,CN,1675885545
205,luderitz,-26.6481,15.1594,17.79,93,0,6.71,NA,1675885545
206,dovolnoye,54.4958,79.6671,-25.5,100,100,1.11,RU,1675885546
207,port-cartier,50.0334,-66.8654,-2.88,71,2,6.6,CA,1675885546
208,ponta do sol,32.6667,-17.1,15.35,71,64,2.86,PT,1675885547
